CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration|
0.795698941|0.831460655|0.813186824|0.699999928|2|0.811764717|0.775280893|0.793103397|0.849999964|10|0.733944952|0.898876429|0.808080852|0.599999905|13.6|0.740740716|0.898876429|0.812182724|0.699999928|1880|0.734513283|0.932584286|0.821782172|0.649999917|1.4|0.754385948|0.966292143|0.847290635|0.499999881|3.2|0.743589759|0.977528095|0.844660223|0.499999881|6.2|0.739130437|0.95505619|0.833333313|0.599999905|6.3|Right|
0.800000012|0.76404494|0.781609237|0.899999976|4.1|0.807228923|0.752808988|0.779069841|0.949999988|20.5|0.785714269|0.741573036|0.763005793|0.799999952|13|0.807228923|0.752808988|0.779069841|0.949999988|1987.3|0.786516845|0.786516845|0.786516905|0.799999952|9.5|0.786516845|0.786516845|0.786516905|0.799999952|4.3|0.786516845|0.786516845|0.786516905|0.799999952|39.9|0.786516845|0.786516845|0.786516905|0.799999952|10.4|Right|
0.804597676|0.786516845|0.795454502|0.699999928|3|0.811764717|0.775280893|0.793103397|0.799999952|11.4|0.740384638|0.865168512|0.797927439|0.649999917|10.3|0.813953459|0.786516845|0.799999952|0.74999994|2006.3|0.736363649|0.910112381|0.814070344|0.649999917|2.6|0.800000012|0.898876429|0.846560895|0.399999857|9.5|0.771428585|0.910112381|0.835051537|0.649999917|21|0.729729712|0.910112381|0.810000062|0.599999905|10.6|Right|
0.802197814|0.820224702|0.811111152|0.399999857|1.4|0.811764717|0.775280893|0.793103397|0.74999994|2.7|0.724770665|0.887640476|0.797979772|0.399999857|9|0.768421054|0.820224702|0.79347831|0.599999905|1861.6|0.721739113|0.932584286|0.813725471|0.399999857|0.7|0.745614052|0.95505619|0.837438405|0.249999836|0.8|0.735042751|0.966292143|0.83495146|0.249999836|2|0.730434775|0.943820238|0.823529422|0.399999857|0.9|Right|
0.800000012|0.76404494|0.781609237|0.949999988|3|0.790697694|0.76404494|0.777142942|0.949999988|12|0.737864077|0.853932559|0.791666687|0.799999952|5.9|0.790697694|0.76404494|0.777142942|0.949999988|1872.7|0.736363649|0.910112381|0.814070344|0.799999952|2.7|0.759615362|0.887640476|0.818652809|0.799999952|3|0.754716992|0.898876429|0.820512831|0.799999952|20.3|0.736363649|0.910112381|0.814070344|0.799999952|5.6|Right|
0.800000012|0.76404494|0.781609237|0.899999976|2.9|0.807228923|0.752808988|0.779069841|0.949999988|16.1|0.785714269|0.741573036|0.763005793|0.799999952|5.9|0.807228923|0.752808988|0.779069841|0.949999988|1873.3|0.786516845|0.786516845|0.786516905|0.799999952|2.5|0.786516845|0.786516845|0.786516905|0.799999952|2.8|0.786516845|0.786516845|0.786516905|0.799999952|19.5|0.786516845|0.786516845|0.786516905|0.799999952|5.3|Right|
0.785714269|0.741573036|0.763005793|0.949999988|3.1|0.747252762|0.76404494|0.75555557|0.949999988|18.2|0.767441869|0.741573036|0.754285753|0.949999988|5.9|0.769230783|0.786516845|0.777777731|0.949999988|1868.5|0.769230783|0.786516845|0.777777731|0.949999988|2.8|0.770114958|0.752808988|0.761363626|0.949999988|3.1|0.752808988|0.752808988|0.752808988|0.949999988|21.2|0.769230783|0.786516845|0.777777731|0.949999988|3.9|Right|
0.800000012|0.76404494|0.781609237|0.899999976|3|0.807228923|0.752808988|0.779069841|0.949999988|9.4|0.790123463|0.719101131|0.752941132|0.899999976|6.1|0.807228923|0.752808988|0.779069841|0.949999988|1891.3|0.807228923|0.752808988|0.779069841|0.949999988|2.8|0.807228923|0.752808988|0.779069841|0.949999988|3.1|0.807228923|0.752808988|0.779069841|0.949999988|21.3|0.807228923|0.752808988|0.779069841|0.949999988|4.2|Right|
0.789473712|0.842696607|0.815217435|0.949999988|1.4|0.675213695|0.887640476|0.766990304|0.949999988|3.9|0.666666687|0.853932559|0.748768449|0.649999917|7.3|0.686440706|0.910112381|0.782608688|0.74999994|1864.5|0.686440706|0.910112381|0.782608688|0.74999994|0.6|0.711711705|0.887640476|0.790000021|0.649999917|0.8|0.698275864|0.910112381|0.790243924|0.649999917|1.9|0.686440706|0.910112381|0.782608688|0.74999994|2.1|Left|
0.825581372|0.797752798|0.811428547|0.599999905|1.7|0.762886584|0.831460655|0.795698941|0.649999917|4.4|0.722222209|0.876404524|0.791878223|0.499999881|7.9|0.755102038|0.831460655|0.791443884|0.649999917|1871.5|0.715517223|0.932584286|0.8097561|0.499999881|1|0.752293587|0.921348333|0.828282833|0.449999869|1.2|0.738738716|0.921348333|0.819999993|0.499999881|5.6|0.715517223|0.932584286|0.8097561|0.499999881|2.8|Right|
0.813186824|0.831460655|0.822222233|0.849999964|2|0.816091955|0.797752798|0.806818187|0.949999988|12.3|0.771739125|0.797752798|0.784530401|0.849999964|8.1|0.816091955|0.797752798|0.806818187|0.949999988|1867.5|0.816091955|0.797752798|0.806818187|0.949999988|1.5|0.769230783|0.898876429|0.829015553|0.599999905|1.7|0.75454545|0.932584286|0.834170878|0.549999893|19.3|0.719298244|0.921348333|0.807881773|0.649999917|4.5|Right|
0.800000012|0.76404494|0.781609237|0.899999976|3.1|0.807228923|0.752808988|0.779069841|0.949999988|8|0.785714269|0.741573036|0.763005793|0.799999952|9|0.807228923|0.752808988|0.779069841|0.949999988|1875.6|0.786516845|0.786516845|0.786516905|0.799999952|2.7|0.786516845|0.786516845|0.786516905|0.799999952|3|0.780219793|0.797752798|0.788888872|0.74999994|28.6|0.786516845|0.786516845|0.786516905|0.799999952|6.6|Right|
0.811764717|0.775280893|0.793103397|0.799999952|3|0.802325606|0.775280893|0.788571417|0.799999952|8|0.792682946|0.730337083|0.760233879|0.799999952|9.1|0.802325606|0.775280893|0.788571417|0.799999952|1994.6|0.802325606|0.775280893|0.788571417|0.799999952|2.7|0.802325606|0.775280893|0.788571417|0.799999952|3|0.802325606|0.775280893|0.788571417|0.799999952|21.2|0.802325606|0.775280893|0.788571417|0.799999952|5.6|Right|
0.709677398|0.247191012|0.366666675|0.849999964|1.6|0.388888896|0.471910119|0.426395923|0.849999964|24.5|0.522522509|0.651685417|0.579999983|0.849999964|5.5|0.423423409|0.528089881|0.469999999|0.849999964|1870.7|0.540540516|0.674157321|0.600000024|0.849999964|2|0.557692289|0.651685417|0.601036191|0.849999964|1.4|0.546296299|0.662921369|0.598984778|0.849999964|7|0.567567587|0.707865179|0.629999995|0.849999964|2.7|Right|
0.75999999|0.853932559|0.804232717|0.899999976|1.8|0.745283008|0.887640476|0.810256422|0.899999976|8.2|0.730769217|0.853932559|0.787564754|0.799999952|4.8|0.716981113|0.853932559|0.779487133|0.899999976|1865.8|0.720720708|0.898876429|0.799999952|0.799999952|2|0.733944952|0.898876429|0.808080852|0.799999952|1.3|0.736363649|0.910112381|0.814070344|0.799999952|7|0.725663722|0.921348333|0.811881244|0.399999857|6.2|Right|
0.681159437|0.528089881|0.594936728|0.799999952|1.8|0.629629612|0.76404494|0.690355301|0.799999952|6.1|0.65420562|0.786516845|0.714285672|0.799999952|5|0.645454526|0.797752798|0.713567853|0.799999952|1868.6|0.654545426|0.80898875|0.72361815|0.799999952|2|0.666666687|0.76404494|0.712041855|0.799999952|1.3|0.657142878|0.775280893|0.711340249|0.799999952|7|0.690909088|0.853932559|0.763819098|0.799999952|1.5|Right|
0.75999999|0.853932559|0.804232717|0.949999988|1.6|0.745283008|0.887640476|0.810256422|0.949999988|5.2|0.710280359|0.853932559|0.775510132|0.849999964|5.1|0.716981113|0.853932559|0.779487133|0.949999988|1860.8|0.720720708|0.898876429|0.799999952|0.849999964|2|0.733944952|0.898876429|0.808080852|0.849999964|1.3|0.736363649|0.910112381|0.814070344|0.849999964|7|0.738317728|0.887640476|0.806122422|0.899999976|1.5|Right|
0.769230783|0.898876429|0.829015553|0.74999994|0.8|0.75454545|0.932584286|0.834170878|0.74999994|4.3|0.737864077|0.853932559|0.791666687|0.74999994|4.4|0.727272749|0.898876429|0.804020107|0.74999994|1865.1|0.727272749|0.898876429|0.804020107|0.74999994|1.8|0.740740716|0.898876429|0.812182724|0.74999994|1.7|0.74311924|0.910112381|0.818181813|0.74999994|4|0.74545455|0.921348333|0.824120641|0.74999994|1|Right|
