classifier_name,dataset_name,accuracy
CNC,Dataset1,0.813186824
CNC,Dataset2,0.781609237
CNC,Dataset3,0.795454502
CNC,Dataset4,0.811111152
CNC,Dataset5,0.781609237
CNC,Dataset6,0.781609237
CNC,Dataset7,0.763005793
CNC,Dataset8,0.781609237
CNC,Dataset9,0.815217435
CNC,Dataset10,0.811428547
CNC,Dataset11,0.822222233
CNC,Dataset12,0.781609237
CNC,Dataset13,0.793103397
CNC,Dataset14,0.366666675
CNC,Dataset15,0.804232717
CNC,Dataset16,0.594936728
CNC,Dataset17,0.804232717
CNC,Dataset18,0.829015553
CNC,Dataset19,0.825396776
CNC,Dataset20,0.558823526
CNC,Dataset21,0.350609779
CNC,Dataset22,0.212171063
CNC,Dataset23,0.128583834
CNC,Dataset24,0.341538459
CNC,Dataset25,0.224774405
CNC,Dataset26,0.329466343
CNC,Dataset27,0.125753671
CNC,Dataset28,0.367346942
CNC,Dataset29,0.351951033
CNC,Dataset30,0.369532406
CNC,Dataset31,0.202970296
CNC,Dataset32,0.165820628
CNC,Dataset33,0.411920518
CNC,Dataset34,0.300847471
CNC,Dataset35,0.416886538
CNC,Dataset36,0.307802439
CNC,Dataset37,0.415069401
CNC,Dataset38,0.236607134
CNC,Dataset39,0.300847471
CNC,Dataset40,0.361396313
CNC,Dataset41,0.274820149
CNC,Dataset42,0.446601957
CNC,Dataset43,0.406600624
CNC,Dataset44,0.401058882
CNC,Dataset45,0.260363638
CNC,Dataset46,0.357340723
CNC,Dataset47,0.588384628
CNC,Dataset48,0.955399036
CNC,Dataset49,0.57664001
CNC,Dataset50,0.587936521
CNC,Dataset51,0.905511796
CNC,Dataset52,0.955399036
CNC,Dataset53,0.771736145
CNC,Dataset54,0.950966537
CNC,Dataset55,0.571153224
CNC,Dataset56,0.934386969
CNC,Dataset57,0.949952841
CNC,Dataset58,0.954171538
CNC,Dataset59,0.587488115
CNC,Dataset60,0.580952346
CNC,Dataset61,0.589387178
CNC,Dataset62,0.35891816
CNC,Dataset63,0.494283795
CNC,Dataset64,0.590091527
CNC,Dataset65,0.475093216
CNC,Dataset66,0.35891816
CNC,Dataset67,0.736513317
CNC,Dataset68,0.346352279
CNC,Dataset69,0.407960236
CNC,Dataset70,0.709022343
CNC,Dataset71,0.750351012
CNC,Dataset72,0.449655145
CNC,Dataset73,0.37833935
CNC,Dataset74,0.656630814
CNC,Dataset75,0.661450982
CNC,Dataset76,0.657593131
CNC,Dataset77,0.661450982
CNC,Dataset78,0.647099972
CNC,Dataset79,0.656630814
CNC,Dataset80,0.049773756
CNC,Dataset81,0.603524208
CNC,Dataset82,0.656160474
CNC,Dataset83,0.658536613
CNC,Dataset84,0.656630814
CNC,Dataset85,0.299483657
CNC,Dataset86,0.291278571
CNC,Dataset87,0.215789482
CNC,Dataset88,0.301369876
CNC,Dataset89,0.078387454
CNC,Dataset90,0.291278571
CNC,Dataset91,0.298230827
CNC,Dataset92,0.209380254
CNC,Dataset93,0.215789482
CNC,Dataset94,0.298582166
CNC,Dataset95,0.323873103
CNC,Dataset96,0.300791562
CNC,Dataset97,0.306382984
CNC,Dataset98,0.190981433
CNC,Dataset99,0.208333343
CNC,Dataset100,0.605725408
CNC,Dataset101,0.58753705
CNC,Dataset102,0.58753705
CNC,Dataset103,0.59954232
CNC,Dataset104,0.605725408
CNC,Dataset105,0.591190934
CNC,Dataset106,0.600777686
CNC,Dataset107,0.607316256
CNC,Dataset108,0.598368704
CNC,Dataset109,0.605528474
CNC,Dataset110,0.595214665
CNC,Dataset111,0.611226559
CNC,Dataset112,0.616822422
CNC,Dataset113,0.611919641
CNC,Dataset114,0.611226559
CNC,Dataset115,0.589065254
CNC,Dataset116,0.616343498
CNC,Dataset117,0.587447107
CNC,Dataset118,0.611535788
CNC,Dataset119,0.572846472
CNC,Dataset120,0.617779315
CNC,Dataset121,0.619737744
CNC,Dataset122,0.616822422
CNC,Dataset123,0.603773594
CNC,Dataset124,0.584756911
CNC,Dataset125,0.597267389
CNC,Dataset126,0.586614192
CNC,Dataset127,0.584756911
CNC,Dataset128,0.547042966
CNC,Dataset129,0.596354187
CNC,Dataset130,0.539703906
CNC,Dataset131,0.591236115
CNC,Dataset132,0.539430082
CNC,Dataset133,0.594524086
CNC,Dataset134,0.595052123
CNC,Dataset135,0.597267389
CNC,Dataset136,0.581961811
CNC,Dataset137,0.427327573
CNC,Dataset138,0.434666693
CNC,Dataset139,0.427327573
CNC,Dataset140,0.430769235
CNC,Dataset141,0.434666693
CNC,Dataset142,0.429993361
CNC,Dataset143,0.431788087
CNC,Dataset144,0.425503373
CNC,Dataset145,0.437086076
CNC,Dataset146,0.434210539
CNC,Dataset147,0.435129732
CNC,Dataset148,0.427419364
CNC,Dataset149,0.61835748
CNC,Dataset150,0.627884567
CNC,Dataset151,0.619990349
CNC,Dataset152,0.621022224
CNC,Dataset153,0.574425578
CNC,Dataset154,0.627884567
CNC,Dataset155,0.571007311
CNC,Dataset156,0.62832284
CNC,Dataset157,0.59828198
CNC,Dataset158,0.621088088
CNC,Dataset159,0.625714302
CNC,Dataset160,0.629202664
CNC,Dataset161,0.616949081
CNC,Dataset162,0.572849333
CNC,Dataset163,0.579494834
CNC,Dataset164,0.560841262
CNC,Dataset165,0.578504205
CNC,Dataset166,0.575742364
CNC,Dataset167,0.57655865
CNC,Dataset168,0.573843837
CNC,Dataset169,0.57185626
CNC,Dataset170,0.583708167
CNC,Dataset171,0.582879782
CNC,Dataset172,0.576693177
CNC,Dataset173,0.575848341
CNC,Dataset174,0.574287176
CNC,Dataset175,0.876474857
CNC,Dataset176,0.739293396
CNC,Dataset177,0.732065201
CNC,Dataset178,0.740602493
CNC,Dataset179,0.836073756
CNC,Dataset180,0.876474857
CNC,Dataset181,0.727868795
CNC,Dataset182,0.863515198
CNC,Dataset183,0.585205138
CNC,Dataset184,0.836861789
CNC,Dataset185,0.872674525
CNC,Dataset186,0.875360847
CNC,Dataset187,0.737775385
CNC,Dataset188,0.167445481
CNC,Dataset189,0.215280399
CNC,Dataset190,0.144322067
CNC,Dataset191,0.167576
CNC,Dataset192,0.32933712
CNC,Dataset193,0.365710348
CNC,Dataset194,0.347856402
CNC,Dataset195,0.532890916
CNC,Dataset196,0.42610693
CNC,Dataset197,0.27622062
CNC,Dataset198,0.531796694
CNC,Dataset199,0.493405044
CNC,Dataset200,0.426268846
CNC,Dataset201,0.453073382
CNC,Dataset202,0.156166881
CNC,Dataset203,0.396817088
CNC,Dataset204,0.536150157
CNC,Dataset205,0.588918626
CNC,Dataset206,0.407214701
CNC,Dataset207,0.466564357
CNC,Dataset208,0.766666651
CNC,Dataset209,0.845360816
CNC,Dataset210,0.860103667
CNC,Dataset211,0.778947413
CNC,Dataset212,0.772486746
CNC,Dataset213,0.779999971
CNC,Dataset214,0.670807421
CNC,Dataset215,0.424242437
CNC,Dataset216,0.772727311
CNC,Dataset217,0.846938789
CNC,Dataset218,0.821621656
CNC,Dataset219,0.724489808
CNC,Dataset220,0.735425949
CNC,Dataset221,0.788461506
CNC,Dataset222,0.48120299
CNC,Dataset223,0.802259862
CNC,Dataset224,0.754490972
CNC,Dataset225,0.818652809
CNC,Dataset226,0.797752798
CNC,Dataset227,0.731481493
CNC,Dataset228,0.715789497
CNC,Dataset229,0.769953012
CNC,Dataset230,0.606896579
CNC,Dataset231,0.732984304
CNC,Dataset232,0.854271352
CNC,Dataset233,0.859903395
CNC,Dataset234,0.862944186
CNC,Dataset235,0.854368985
CNC,Dataset236,0.772946894
CNC,Dataset237,0.862944186
CNC,Dataset238,0.751131237
CNC,Dataset239,0.611111104
CNC,Dataset240,0.75739646
CNC,Dataset241,0.70873785
CNC,Dataset242,0.791208744
CNC,Dataset243,0.643478274
CNC,Dataset244,0.752380967
CNC,Dataset245,0.738916218
CNC,Dataset246,0.79347831
CNC,Dataset247,0.646288216
CNC,Dataset248,0.339285702
CNC,Dataset249,0.519480526
CNC,Dataset250,0.40336135
CNC,Dataset251,0.681415975
CNC,Dataset252,0.684210598
CNC,Dataset253,0.681415975
CNC,Dataset254,0.270183861
CNC,Dataset255,0.086956523
CNC,Dataset256,0.205980077
CNC,Dataset257,0.056007229
CNC,Dataset258,0.582345188
CNC,Dataset259,0.33436057
CNC,Dataset260,0.3125
CNC,Dataset261,0.160136297
CNC,Dataset262,0.343032181
CNC,Dataset263,0.185029432
CNC,Dataset264,0.262268722
CNC,Dataset265,0.504517019
CNC,Dataset266,0.597267389
CNC,Dataset267,0.381381422
CNC,Dataset268,0.275697172
CNC,Dataset269,0.278219402
CNC,Dataset270,0.292913407
CNC,Dataset271,0.182278484
CNC,Dataset272,0.345830142
CNC,Dataset273,0.202172101
CNC,Dataset274,0.252427191
CNC,Dataset275,0.549494982
CNC,Dataset276,0.526962459
CNC,Dataset277,0.351145029
CNC,Dataset278,0.254428357
CNC,Dataset279,0.182124794
CNC,Dataset280,0.35768646
CNC,Dataset281,0.203502923
CNC,Dataset282,0.2536349
CNC,Dataset283,0.599352777
CNC,Dataset284,0.518163085
CNC,Dataset285,0.373493999
CNC,Dataset286,0.253225833
CNC,Dataset287,0.164546236
CNC,Dataset288,0.276629567
CNC,Dataset289,0.205638498
CNC,Dataset290,0.242671028
CNC,Dataset291,0.457711488
CNC,Dataset292,0.393491119
CNC,Dataset293,0.296296328
CNC,Dataset294,0.178902969
CNC,Dataset295,0.24516131
CNC,Dataset296,0.202489614
CNC,Dataset297,0.202657789
CNC,Dataset298,0.382089555
CNC,Dataset299,0.3219814
CNC,Dataset300,0.247572824
CNC,Dataset301,0.176515728
CNC,Dataset302,0.179407164
CNC,Dataset303,0.226666659
CNC,Dataset304,0.019695615
CNC,Dataset305,0.272596866
CNC,Dataset306,0.263421625
CNC,Dataset307,0.206738129
CNC,Dataset308,0.16865553
CNC,Dataset309,0.230366483
CNC,Dataset310,0.182235822
CNC,Dataset311,0.245434627
CNC,Dataset312,0.236243591
CNC,Dataset313,0.253400147
CNC,Dataset314,0.101141922
CNC,Dataset315,0.332643181
CNC,Dataset316,0.278174043
CNC,Dataset317,0.208172709
CNC,Dataset318,0.166153848
CNC,Dataset319,0.205049738
CNC,Dataset320,0.211782247
CNC,Dataset321,0.277856112
CNC,Dataset322,0.193792582
CNC,Dataset323,0.35104236
CNC,Dataset324,0.284098923
CNC,Dataset325,0.162664592
CNC,Dataset326,0.160493836
CNC,Dataset327,0.190327615
CNC,Dataset328,0.225997046
CNC,Dataset329,0.255442679
CNC,Dataset330,0.23468633
CNC,Dataset331,0.248206586
CNC,Dataset332,0.229062289
CNC,Dataset333,0.352074981
CNC,Dataset334,0.294736862
CNC,Dataset335,0.272662401
CNC,Dataset336,0.255442679
CNC,Dataset337,0.258297265
CNC,Dataset338,0.227106214
CNC,Dataset339,0.300489157
CNC,Dataset340,0.264310956
CNC,Dataset341,0.242599279
CNC,Dataset342,0.376984119
CNC,Dataset343,0.371202111
CNC,Dataset344,0.26638177
CNC,Dataset345,0.272984415
CNC,Dataset346,0.246198386
CNC,Dataset347,0.299223721
