classifier_name|dataset_name|accuracy
CNC|Dataset1|0.685185201
CNC|Dataset2|0.64150949
CNC|Dataset3|0.660377299
CNC|Dataset4|0.682243049
CNC|Dataset5|0.64150949
CNC|Dataset6|0.64150949
CNC|Dataset7|0.616822446
CNC|Dataset8|0.64150949
CNC|Dataset9|0.688073457
CNC|Dataset10|0.682692273
CNC|Dataset11|0.698113223
CNC|Dataset12|0.64150949
CNC|Dataset13|0.657142787
CNC|Dataset14|0.224489802
CNC|Dataset15|0.67256625
CNC|Dataset16|0.423423443
CNC|Dataset17|0.67256625
CNC|Dataset18|0.707964615
CNC|Dataset19|0.702702631
CNC|Dataset20|0.387755099
CNC|Dataset21|0.212569333
CNC|Dataset22|0.118675259
CNC|Dataset23|0.068709374
CNC|Dataset24|0.205936918
CNC|Dataset25|0.126617375
CNC|Dataset26|0.197222212
CNC|Dataset27|0.067095594
CNC|Dataset28|0.225000002
CNC|Dataset29|0.213556175
CNC|Dataset30|0.226641981
CNC|Dataset31|0.112947658
CNC|Dataset32|0.090405895
CNC|Dataset33|0.25938281
CNC|Dataset34|0.177057366
CNC|Dataset35|0.263333329
CNC|Dataset36|0.181895097
CNC|Dataset37|0.261884906
CNC|Dataset38|0.134177209
CNC|Dataset39|0.177057366
CNC|Dataset40|0.220551385
CNC|Dataset41|0.15929942
CNC|Dataset42|0.287500013
CNC|Dataset43|0.255178099
CNC|Dataset44|0.250827799
CNC|Dataset45|0.149665553
CNC|Dataset46|0.217537945
CNC|Dataset47|0.416816535
CNC|Dataset48|0.914606696
CNC|Dataset49|0.405125909
CNC|Dataset50|0.41636692
CNC|Dataset51|0.827338104
CNC|Dataset52|0.914606696
CNC|Dataset53|0.628314626
CNC|Dataset54|0.906516875
CNC|Dataset55|0.399730212
CNC|Dataset56|0.876853925
CNC|Dataset57|0.904676359
CNC|Dataset58|0.912359505
CNC|Dataset59|0.41591729
CNC|Dataset60|0.409395938
CNC|Dataset61|0.417823494
CNC|Dataset62|0.218708264
CNC|Dataset63|0.328271552
CNC|Dataset64|0.418531797
CNC|Dataset65|0.311555579
CNC|Dataset66|0.218708264
CNC|Dataset67|0.582921314
CNC|Dataset68|0.209447438
CNC|Dataset69|0.256250029
CNC|Dataset70|0.549213489
CNC|Dataset71|0.600449422
CNC|Dataset72|0.290035564
CNC|Dataset73|0.233303651
CNC|Dataset74|0.488794012
CNC|Dataset75|0.494155218
CNC|Dataset76|0.489861268
CNC|Dataset77|0.494155218
CNC|Dataset78|0.478305831
CNC|Dataset79|0.488794012
CNC|Dataset80|0.025522042
CNC|Dataset81|0.432176635
CNC|Dataset82|0.488272938
CNC|Dataset83|0.490909122
CNC|Dataset84|0.488794012
CNC|Dataset85|0.176113366
CNC|Dataset86|0.170465803
CNC|Dataset87|0.120943958
CNC|Dataset88|0.177419364
CNC|Dataset89|0.040792539
CNC|Dataset90|0.170465803
CNC|Dataset91|0.17524752
CNC|Dataset92|0.116931724
CNC|Dataset93|0.120943958
CNC|Dataset94|0.175490206
CNC|Dataset95|0.193227078
CNC|Dataset96|0.177018637
CNC|Dataset97|0.180904526
CNC|Dataset98|0.105571848
CNC|Dataset99|0.116279076
CNC|Dataset100|0.434437672
CNC|Dataset101|0.415966344
CNC|Dataset102|0.415966344
CNC|Dataset103|0.428104561
CNC|Dataset104|0.434437672
CNC|Dataset105|0.419638792
CNC|Dataset106|0.429365427
CNC|Dataset107|0.436076215
CNC|Dataset108|0.426908778
CNC|Dataset109|0.434235094
CNC|Dataset110|0.423705067
CNC|Dataset111|0.440119706
CNC|Dataset112|0.445945938
CNC|Dataset113|0.440838772
CNC|Dataset114|0.440119706
CNC|Dataset115|0.417499998
CNC|Dataset116|0.445445453
CNC|Dataset117|0.415876184
CNC|Dataset118|0.44044044
CNC|Dataset119|0.401390923
CNC|Dataset120|0.446946947
CNC|Dataset121|0.448999994
CNC|Dataset122|0.445945938
CNC|Dataset123|0.432432442
CNC|Dataset124|0.413184785
CNC|Dataset125|0.425788482
CNC|Dataset126|0.415041802
CNC|Dataset127|0.413184785
CNC|Dataset128|0.376503195
CNC|Dataset129|0.424860874
CNC|Dataset130|0.369585256
CNC|Dataset131|0.419684321
CNC|Dataset132|0.36932849
CNC|Dataset133|0.423005531
CNC|Dataset134|0.423540355
CNC|Dataset135|0.425788482
CNC|Dataset136|0.410399251
CNC|Dataset137|0.271720649
CNC|Dataset138|0.277683156
CNC|Dataset139|0.271720649
CNC|Dataset140|0.274509807
CNC|Dataset141|0.277683156
CNC|Dataset142|0.273879964
CNC|Dataset143|0.275337844
CNC|Dataset144|0.270247243
CNC|Dataset145|0.279661003
CNC|Dataset146|0.277310935
CNC|Dataset147|0.278061218
CNC|Dataset148|0.271794879
CNC|Dataset149|0.447552439
