Dataset|Representation Model|Similarity Metric|Duplicates Type|Valid Pairs|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration (it's the opposite in fact)|
Restaurants|CHARACTER_BIGRAMS|COSINE_SIMILARITY|Scarce|764784|1.000|0.758|0.775|0.767|0.950|11|0.758|0.775|0.767|0.950|46|0.739|0.921|0.820|0.900|23|0.748|0.966|0.843|0.900|1941|0.744|0.978|0.845|0.900|16|0.811|0.966|0.882|0.900|15|0.779|0.989|0.871|0.900|81|0.772|0.989|0.867|0.900|21|Right|
Restaurants|CHARACTER_BIGRAMS|ENHANCED_JACCARD_SIMILARITY|Scarce|764784|1.000|0.781|0.921|0.845|0.700|19|0.380|0.921|0.538|0.700|50|0.364|0.966|0.529|0.650|14|0.366|0.978|0.532|0.650|2020|0.371|1.000|0.541|0.650|19|0.742|1.000|0.852|0.650|22|0.728|0.933|0.818|0.700|119|0.371|1.000|0.541|0.650|40|Right|
Restaurants|CHARACTER_BIGRAMS|GENERALIZED_JACCARD_SIMILARITY|Scarce|764784|1.000|0.798|0.933|0.860|0.800|8|0.787|0.663|0.720|0.900|34|0.778|0.629|0.696|0.900|9|0.784|0.652|0.712|0.900|1881|0.787|0.663|0.720|0.900|12|0.796|0.966|0.873|0.800|8|0.754|0.966|0.847|0.800|47|0.787|0.663|0.720|0.900|9|Right|
Restaurants|CHARACTER_BIGRAMS_TF_IDF|ARCS_SIMILARITY|Scarce|764784|1.000|0.733|0.831|0.779|0.450|6|0.655|0.854|0.741|0.450|8|0.688|0.843|0.758|0.450|9|0.687|0.888|0.775|0.450|1903|0.690|0.899|0.780|0.450|13|0.690|0.899|0.780|0.450|7|0.690|0.899|0.780|0.450|41|0.690|0.899|0.780|0.450|9|Right|
Restaurants|CHARACTER_BIGRAMS_TF_IDF|COSINE_SIMILARITY|Scarce|764784|1.000|0.730|0.820|0.772|0.500|7|0.385|0.921|0.543|0.700|8|0.373|0.876|0.523|0.700|10|0.377|0.899|0.532|0.700|1883|0.378|0.921|0.536|0.700|12|0.411|0.989|0.581|0.600|7|0.398|0.989|0.568|0.600|32|0.378|0.921|0.536|0.700|8|Right|
Restaurants|CHARACTER_BIGRAMS_TF_IDF|GENERALIZED_JACCARD_SIMILARITY|Scarce|618971|0.809|0.703|0.876|0.780|0.350|6|0.497|0.921|0.646|0.550|7|0.487|0.865|0.623|0.550|11|0.506|0.921|0.653|0.550|1952|0.491|0.921|0.641|0.550|6|0.529|0.921|0.672|0.550|5|0.516|0.921|0.661|0.550|23|0.491|0.921|0.641|0.550|8|Right|
Restaurants|CHARACTER_BIGRAM_GRAPHS|GRAPH_CONTAINMENT_SIMILARITY|Scarce|764784|1.000|0.750|0.607|0.671|0.750|10|0.218|0.640|0.326|0.750|14|0.202|0.742|0.317|0.700|10|0.206|0.787|0.327|0.400|1851|0.201|0.764|0.318|0.650|15|0.556|0.730|0.631|0.400|133|0.333|0.753|0.462|0.700|42|0.204|0.775|0.322|0.400|296|Right|
Restaurants|CHARACTER_BIGRAM_GRAPHS|GRAPH_NORMALIZED_VALUE_SIMILARITY|Scarce|764784|1.000|0.651|0.315|0.424|0.750|12|0.116|0.315|0.169|0.750|18|0.159|0.607|0.252|0.650|14|0.162|0.618|0.257|0.350|1853|0.159|0.607|0.252|0.650|17|0.481|0.584|0.528|0.450|103|0.274|0.607|0.378|0.650|87|0.162|0.618|0.257|0.650|42|Right|
Restaurants|CHARACTER_TRIGRAMS|COSINE_SIMILARITY|Scarce|764784|1.000|0.782|0.764|0.773|0.950|6|0.782|0.764|0.773|0.950|8|0.779|0.910|0.839|0.900|9|0.764|0.910|0.831|0.900|1960|0.789|0.966|0.869|0.900|7|0.789|0.966|0.869|0.900|6|0.789|0.966|0.869|0.900|28|0.789|0.966|0.869|0.900|10|Right|
Restaurants|CHARACTER_TRIGRAMS|ENHANCED_JACCARD_SIMILARITY|Scarce|764784|1.000|0.776|0.933|0.847|0.650|23|0.362|0.933|0.522|0.650|28|0.360|0.910|0.516|0.650|10|0.367|0.944|0.528|0.650|1933|0.367|0.944|0.528|0.650|15|0.750|0.944|0.836|0.650|17|0.683|0.944|0.792|0.650|58|0.367|0.944|0.528|0.650|33|Right|
