Dataset|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|BF Pairs|Domain|Average Characters D1|Average Tokens D1|Average Characters D2|Average Tokens D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Restaurants|FastText|Cosine Similarity|Scarce|764784|764784|Restaurants|107|21|111|21|1|0.681818187|0.505617976|0.580645204|0.949999988|11|0.585106373|0.6179775|0.601092875|0.949999988|51|0.550458729|0.674157321|0.606060624|0.949999988|18|0.604166687|0.651685417|0.627027035|0.949999988|1972|0.557522118|0.707865179|0.623762369|0.949999988|11|0.639534891|0.6179775|0.628571451|0.949999988|11|0.610526323|0.651685417|0.630434752|0.949999988|108|0.571428597|0.719101131|0.636815965|0.949999988|15|Right
Restaurants|FastText|Euclidean Distance|Scarce|764784|764784|Restaurants|107|21|111|21|1|0.732142866|0.460674167|0.565517247|0.649999917|6|0.584269643|0.584269643|0.584269643|0.799999952|11|0.612903237|0.640449464|0.626373649|0.649999917|9|0.645161271|0.674157321|0.65934068|0.799999952|1871|0.602040827|0.662921369|0.631016076|0.649999917|7|0.689189196|0.57303369|0.625766873|0.649999917|8|0.666666687|0.629213512|0.647398829|0.649999917|37|0.628865957|0.685393274|0.655913949|0.649999917|8|Right
Abt-Buy|FastText|Cosine Similarity|Balanced|1157776|1157776|E-commerce|307|60|90|20|1|0.915254235|0.050185874|0.095154189|0.899999976|9|0.303149611|0.143122673|0.194444448|0.849999964|73|0.364820838|0.312267661|0.336504757|0.799999952|24|0.478624523|0.478624523|0.478624523|0.249999836|1082|0.377615064|0.33550185|0.35531497|0.799999952|48|0.790816307|0.144052044|0.243710697|0.799999952|59|0.645669281|0.228624538|0.337680161|0.799999952|152|0.458874464|0.394052058|0.423999995|0.799999952|124|Left
Abt-Buy|FastText|Euclidean Distance|Balanced|1157776|1157776|E-commerce|307|60|90|20|1|0.870370388|0.043680299|0.083185844|0.549999893|10|0.227368414|0.100371748|0.139264986|0.599999905|42|0.297397763|0.297397763|0.297397763|0.249999836|22|0.470697671|0.470260233|0.470478863|0.249999836|1088|0.324973881|0.289033443|0.305951774|0.449999869|91|0.774390221|0.118029743|0.204838723|0.449999869|101|0.599447489|0.201672867|0.301808089|0.449999869|278|0.402142167|0.383828998|0.392772228|0.399999857|918|Left
Amazon-Google Products|FastText|Cosine Similarity|One-sided|4114806|4114806|E-commerce|1325|228|259|50|1|0.574999988|0.083333336|0.145569623|0.949999988|29|0.349753708|0.128623188|0.188079476|0.949999988|49|0.20335111|0.241847828|0.220935032|0.799999952|89|0.239290982|0.293478251|0.26362896|0.199999839|2141|0.344827592|0.163043484|0.221402213|0.949999988|39|0.494680852|0.168478265|0.251351357|0.899999976|140|0.384915471|0.268115938|0.316070467|0.649999917|2451|0.246354565|0.290760875|0.266722053|0.799999952|3436|Left
Amazon-Google Products|FastText|Euclidean Distance|One-sided|4114806|4114806|E-commerce|1325|228|259|50|1|0.604166687|0.078804351|0.139423087|0.649999917|31|0.442148775|0.096920289|0.158989608|0.649999917|36|0.194670618|0.23822464|0.214256629|0.399999857|94|0.220088631|0.269927531|0.242473543|0.049999844|2146|0.379232496|0.152173907|0.217194572|0.649999917|39|0.512396693|0.168478265|0.253578752|0.499999881|500|0.37003842|0.261775374|0.306631327|0.399999857|2496|0.231111109|0.282608688|0.254278719|0.399999857|5521|Left
DBLP-ACM|FastText|Cosine Similarity|Balanced|6001104|6001104|Bibliographic|122|21|145|25|1|1|0.71133095|0.831319034|0.949999988|41|0.970815003|0.792715847|0.872772276|0.899999976|59|0.935852826|0.846222997|0.888783932|0.899999976|140|0.977239013|0.888039589|0.930506527|0.849999964|2025|0.948765695|0.915917277|0.932052195|0.899999976|58|0.995389342|0.873651087|0.930555582|0.899999976|50|0.98548007|0.946043193|0.965358973|0.699999928|3737|0.965934575|0.968974829|0.967452347|0.849999964|335|Left
DBLP-ACM|FastText|Euclidean Distance|Balanced|6001104|6001104|Bibliographic|122|21|145|25|1|1|0.735161841|0.84736979|0.599999905|40|0.960547924|0.788219452|0.865892828|0.499999881|64|0.919557571|0.822392106|0.868264914|0.549999893|144|0.972764671|0.85116905|0.907913685|0.449999869|2010|0.937617242|0.89883095|0.917814493|0.549999893|87|0.995889008|0.87140286|0.929496348|0.549999893|55|0.984593809|0.948291361|0.966101646|0.449999869|2174|0.96037823|0.959082723|0.95972997|0.499999881|481|Left
DBLP-ACM|Albert|Cosine Similarity|Balanced|6001104|6001104|Bibliographic|122|21|145|25|1|0.902597427|0.0625|0.116904959|0.949999988|41|0.289473683|0.089028776|0.136176065|0.949999988|84|0.171779141|0.176258996|0.173990235|0.799999952|171|0.444055945|0.171312943|0.247242033|0.949999988|2011|0.42567569|0.16996403|0.242930606|0.949999988|59|0.699346423|0.14433454|0.239284396|0.949999988|46|0.462230206|0.231115103|0.30815348|0.799999952|2568|0.511085153|0.196942449|0.284323275|0.949999988|67|Left
DBLP-ACM|Albert|Euclidean Distance|Balanced|6001104|6001104|Bibliographic|122|21|145|25|1|0.883620679|0.092176259|0.166938111|0.349999845|39|0.574519217|0.10746403|0.181060612|0.349999845|54|0.241863906|0.14703238|0.182885915|0.249999836|135|0.451357454|0.179406479|0.256756753|0.299999833|2068|0.67359668|0.145683452|0.239556372|0.349999845|58|0.643835604|0.14793165|0.240584999|0.249999836|63|0.508994699|0.216276973|0.30356577|0.249999836|345|0.377224207|0.238309354|0.292091489|0.249999836|115|Left
