Dataset|Representation Model|Similarity Metric|Duplicates Type|Domain|Valid Pairs|BF Pairs|Average Characters D1|Average Tokens D1|Average Characters D2|Average Tokens D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Restaurants|CHARACTER_BIGRAMS|COSINE_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.758241773|0.775280893|0.766666651|0.949999988|11|0.758241773|0.775280893|0.766666651|0.949999988|46|0.738738716|0.921348333|0.819999993|0.899999976|23|0.747826099|0.966292143|0.843137264|0.899999976|1941|0.743589759|0.977528095|0.844660223|0.899999976|16|0.811320782|0.966292143|0.882051349|0.899999976|15|0.778761089|0.988764048|0.871287107|0.899999976|81|0.771929801|0.988764048|0.866995096|0.899999976|21|Right
Restaurants|CHARACTER_BIGRAMS|ENHANCED_JACCARD_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.780952394|0.921348333|0.845360816|0.699999928|19|0.379629642|0.921348333|0.537704945|0.699999928|50|0.364406794|0.966292143|0.529230773|0.649999917|14|0.365546227|0.977528095|0.532110095|0.649999917|2020|0.370833337|1|0.541033387|0.649999917|19|0.741666675|1|0.851674676|0.649999917|22|0.728070199|0.932584286|0.817734003|0.699999928|119|0.370833337|1|0.541033387|0.649999917|40|Right
Restaurants|CHARACTER_BIGRAMS|GENERALIZED_JACCARD_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.798076928|0.932584286|0.860103667|0.799999952|8|0.786666691|0.662921369|0.719512224|0.899999976|34|0.777777791|0.629213512|0.695652187|0.899999976|9|0.783783793|0.651685417|0.711656451|0.899999976|1881|0.786666691|0.662921369|0.719512224|0.899999976|12|0.796296299|0.966292143|0.873096406|0.799999952|8|0.754385948|0.966292143|0.847290635|0.799999952|47|0.786666691|0.662921369|0.719512224|0.899999976|9|Right
Restaurants|CHARACTER_BIGRAMS_TF_IDF|ARCS_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.732673287|0.831460655|0.778947413|0.449999869|6|0.655172408|0.853932559|0.741463363|0.449999869|8|0.688073397|0.842696607|0.75757575|0.449999869|9|0.686956525|0.887640476|0.774509788|0.449999869|1903|0.689655185|0.898876429|0.780487776|0.449999869|13|0.689655185|0.898876429|0.780487776|0.449999869|7|0.689655185|0.898876429|0.780487776|0.449999869|41|0.689655185|0.898876429|0.780487776|0.449999869|9|Right
Restaurants|CHARACTER_BIGRAMS_TF_IDF|COSINE_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.730000019|0.820224702|0.772486746|0.499999881|7|0.384976536|0.921348333|0.543046415|0.699999928|8|0.373205751|0.876404524|0.523489952|0.699999928|10|0.377358496|0.898876429|0.531561494|0.699999928|1883|0.377880186|0.921348333|0.53594774|0.699999928|12|0.411214948|0.988764048|0.580858052|0.599999905|7|0.398190051|0.988764048|0.56774193|0.599999905|32|0.377880186|0.921348333|0.53594774|0.699999928|8|Right
Restaurants|CHARACTER_BIGRAMS_TF_IDF|GENERALIZED_JACCARD_SIMILARITY|Scarce|Restaurants|618971|764784|107|21|111|21|0.809|0.702702701|0.876404524|0.779999971|0.349999845|6|0.4969697|0.921348333|0.645669281|0.549999893|7|0.487341762|0.865168512|0.62348175|0.549999893|11|0.506172836|0.921348333|0.653386414|0.549999893|1952|0.491017967|0.921348333|0.64062506|0.549999893|6|0.52903223|0.921348333|0.672131121|0.549999893|5|0.515723288|0.921348333|0.661290348|0.549999893|23|0.491017967|0.921348333|0.64062506|0.549999893|8|Right
Restaurants|CHARACTER_BIGRAM_GRAPHS|GRAPH_CONTAINMENT_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.75|0.606741548|0.670807421|0.74999994|10|0.218390808|0.640449464|0.32571429|0.74999994|14|0.201834857|0.741573036|0.317307711|0.699999928|10|0.206489682|0.786516845|0.32710281|0.399999857|1851|0.20058997|0.76404494|0.31775701|0.649999917|15|0.555555582|0.730337083|0.631067991|0.399999857|133|0.333333343|0.752808988|0.462068975|0.699999928|42|0.203539819|0.775280893|0.322429895|0.399999857|296|Right
Restaurants|CHARACTER_BIGRAM_GRAPHS|GRAPH_NORMALIZED_VALUE_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.651162803|0.314606756|0.424242437|0.74999994|12|0.11570248|0.314606756|0.169184282|0.74999994|18|0.159292042|0.606741548|0.252336472|0.649999917|14|0.162241891|0.6179775|0.257009357|0.349999845|1853|0.159292042|0.606741548|0.252336472|0.649999917|17|0.481481493|0.584269643|0.527918816|0.449999869|103|0.274111688|0.606741548|0.377622366|0.649999917|87|0.162241891|0.6179775|0.257009357|0.649999917|42|Right
Restaurants|CHARACTER_TRIGRAMS|COSINE_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.781609178|0.76404494|0.772727311|0.949999988|6|0.781609178|0.76404494|0.772727311|0.949999988|8|0.778846145|0.910112381|0.839378238|0.899999976|9|0.764150918|0.910112381|0.8307693|0.899999976|1960|0.788990855|0.966292143|0.868686914|0.899999976|7|0.788990855|0.966292143|0.868686914|0.899999976|6|0.788990855|0.966292143|0.868686914|0.899999976|28|0.788990855|0.966292143|0.868686914|0.899999976|10|Right
Restaurants|CHARACTER_TRIGRAMS|ENHANCED_JACCARD_SIMILARITY|Scarce|Restaurants|764784|764784|107|21|111|21|1|0.775700927|0.932584286|0.846938789|0.649999917|23|0.362445414|0.932584286|0.522012591|0.649999917|28|0.360000014|0.910112381|0.515923619|0.649999917|10|0.366812229|0.943820238|0.528301895|0.649999917|1933|0.366812229|0.943820238|0.528301895|0.649999917|15|0.75|0.943820238|0.835820913|0.649999917|17|0.682926834|0.943820238|0.792452812|0.649999917|58|0.366812229|0.943820238|0.528301895|0.649999917|33|Right
