Dataset|Attribute Name|Similarity Measure|Duplicates Type|Valid Pairs|Domain|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|Positive Distribution|Positive P-value|Negative Distribution|Negative P-value|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Restaurants|Name|Cosine Similarity|Scarce|2210|Restaurants|11|2|0.67|11|2|0.67|0.003|invweibull|0|ksone|0|0.796|0.831|0.813|0.700|5|0.812|0.775|0.793|0.850|10|0.734|0.899|0.808|0.600|10|0.741|0.899|0.812|0.700|1881|0.735|0.933|0.822|0.650|5|0.754|0.966|0.847|0.500|3|0.744|0.978|0.845|0.500|5|0.739|0.955|0.833|0.600|2|Right
Restaurants|Name|Damerau Levenshtein|Scarce|292737|Restaurants|11|2|0.67|11|2|0.67|0.383|levy_l|0|ksone|0|0.800|0.764|0.782|0.900|4|0.807|0.753|0.779|0.950|12|0.786|0.742|0.763|0.800|8|0.807|0.753|0.779|0.950|1902|0.787|0.787|0.787|0.800|13|0.787|0.787|0.787|0.800|8|0.787|0.787|0.787|0.800|36|0.787|0.787|0.787|0.800|9|Right
Restaurants|Name|Euclidean Distance|Scarce|286463|Restaurants|11|2|0.67|11|2|0.67|0.375|gamma|0|ksone|0|0.805|0.787|0.795|0.700|5|0.812|0.775|0.793|0.800|7|0.740|0.865|0.798|0.650|7|0.814|0.787|0.800|0.750|1861|0.736|0.910|0.814|0.650|20|0.800|0.899|0.847|0.400|15|0.771|0.910|0.835|0.650|19|0.730|0.910|0.810|0.600|11|Right
Restaurants|Name|Generalized Jaccard|Scarce|2210|Restaurants|11|2|0.67|11|2|0.67|0.003|gilbrat|0|ksone|0|0.802|0.820|0.811|0.400|1|0.812|0.775|0.793|0.750|2|0.725|0.888|0.798|0.400|4|0.768|0.820|0.793|0.600|1866|0.722|0.933|0.814|0.400|2|0.746|0.955|0.837|0.250|2|0.735|0.966|0.835|0.250|2|0.730|0.944|0.824|0.400|2|Right
Restaurants|Name|Jaro Similarity|Scarce|318143|Restaurants|11|2|0.67|11|2|0.67|0.416|invweibull|0|ksone|0|0.800|0.764|0.782|0.950|3|0.791|0.764|0.777|0.950|16|0.738|0.854|0.792|0.800|6|0.791|0.764|0.777|0.950|1883|0.736|0.910|0.814|0.800|3|0.760|0.888|0.819|0.800|4|0.755|0.899|0.821|0.800|21|0.736|0.910|0.814|0.800|4|Right
Restaurants|Name|Levenshtein Distance|Scarce|292623|Restaurants|11|2|0.67|11|2|0.67|0.383|levy_l|0|ksone|0|0.800|0.764|0.782|0.900|3|0.807|0.753|0.779|0.950|5|0.786|0.742|0.763|0.800|6|0.807|0.753|0.779|0.950|1851|0.787|0.787|0.787|0.800|3|0.787|0.787|0.787|0.800|3|0.787|0.787|0.787|0.800|14|0.787|0.787|0.787|0.800|3|Right
Restaurants|Name|Monge Elkan|Scarce|331146|Restaurants|11|2|0.67|11|2|0.67|0.433|invweibull|0|ksone|0|0.786|0.742|0.763|0.950|3|0.747|0.764|0.756|0.950|16|0.767|0.742|0.754|0.950|10|0.769|0.787|0.778|0.950|1875|0.769|0.787|0.778|0.950|3|0.770|0.753|0.761|0.950|3|0.753|0.753|0.753|0.950|16|0.769|0.787|0.778|0.950|3|Right
Restaurants|Name|Needleman Wunch|Scarce|339678|Restaurants|11|2|0.67|11|2|0.67|0.444|trapz|0|ksone|0|0.800|0.764|0.782|0.900|3|0.807|0.753|0.779|0.950|6|0.790|0.719|0.753|0.900|11|0.807|0.753|0.779|0.950|1877|0.807|0.753|0.779|0.950|7|0.807|0.753|0.779|0.950|3|0.807|0.753|0.779|0.950|18|0.807|0.753|0.779|0.950|3|Right
Restaurants|Name|Overlap Coefficient|Scarce|2210|Restaurants|11|2|0.67|11|2|0.67|0.003|ncf|0|ksone|0|0.789|0.843|0.815|0.950|1|0.675|0.888|0.767|0.950|3|0.667|0.854|0.749|0.650|4|0.686|0.910|0.783|0.750|1863|0.686|0.910|0.783|0.750|5|0.712|0.888|0.790|0.650|3|0.698|0.910|0.790|0.650|3|0.686|0.910|0.783|0.750|2|Left
Restaurants|Name|q-grams Distance|Scarce|59882|Restaurants|11|2|0.67|11|2|0.67|0.078|gilbrat|0|ksone|0|0.826|0.798|0.811|0.600|2|0.763|0.831|0.796|0.650|9|0.722|0.876|0.792|0.500|8|0.755|0.831|0.791|0.650|1878|0.716|0.933|0.810|0.500|4|0.752|0.921|0.828|0.450|2|0.739|0.921|0.820|0.500|6|0.716|0.933|0.810|0.500|2|Right
