Dataset|Nodes|Attribute Name|Similarity Measure|Duplicates Type|Valid Pairs|Domain|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|Positive Distribution|Positive P-value|Negative Distribution|Negative P-value|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Restaurants|2595|Name|Cosine Similarity|Scarce|2210|Restaurants|11|2|0.67|11|2|0.67|0.003|invweibull|0|ksone|0|0.796|0.831|0.813|0.7|5|0.812|0.775|0.793|0.85|10|0.734|0.899|0.808|0.6|10|0.741|0.899|0.812|0.7|1881|0.735|0.933|0.822|0.65|5|0.754|0.966|0.847|0.5|3|0.744|0.978|0.845|0.5|5|0.739|0.955|0.833|0.6|2|Right
Restaurants|2595|Name|Damerau Levenshtein|Scarce|292737|Restaurants|11|2|0.67|11|2|0.67|0.383|levy_l|0|ksone|0|0.8|0.764|0.782|0.9|4|0.807|0.753|0.779|0.95|12|0.786|0.742|0.763|0.8|8|0.807|0.753|0.779|0.95|1902|0.787|0.787|0.787|0.8|13|0.787|0.787|0.787|0.8|8|0.787|0.787|0.787|0.8|36|0.787|0.787|0.787|0.8|9|Right
Restaurants|2595|Name|Euclidean Distance|Scarce|286463|Restaurants|11|2|0.67|11|2|0.67|0.375|gamma|0|ksone|0|0.805|0.787|0.795|0.7|5|0.812|0.775|0.793|0.8|7|0.74|0.865|0.798|0.65|7|0.814|0.787|0.8|0.75|1861|0.736|0.91|0.814|0.65|20|0.8|0.899|0.847|0.4|15|0.771|0.91|0.835|0.65|19|0.73|0.91|0.81|0.6|11|Right
Restaurants|2595|Name|Generalized Jaccard|Scarce|2210|Restaurants|11|2|0.67|11|2|0.67|0.003|gilbrat|0|ksone|0|0.802|0.82|0.811|0.4|1|0.812|0.775|0.793|0.75|2|0.725|0.888|0.798|0.4|4|0.768|0.82|0.793|0.6|1866|0.722|0.933|0.814|0.4|2|0.746|0.955|0.837|0.25|2|0.735|0.966|0.835|0.25|2|0.73|0.944|0.824|0.4|2|Right
Restaurants|2595|Name|Jaro Similarity|Scarce|318143|Restaurants|11|2|0.67|11|2|0.67|0.416|invweibull|0|ksone|0|0.8|0.764|0.782|0.95|3|0.791|0.764|0.777|0.95|16|0.738|0.854|0.792|0.8|6|0.791|0.764|0.777|0.95|1883|0.736|0.91|0.814|0.8|3|0.76|0.888|0.819|0.8|4|0.755|0.899|0.821|0.8|21|0.736|0.91|0.814|0.8|4|Right
Restaurants|2595|Name|Levenshtein Distance|Scarce|292623|Restaurants|11|2|0.67|11|2|0.67|0.383|levy_l|0|ksone|0|0.8|0.764|0.782|0.9|3|0.807|0.753|0.779|0.95|5|0.786|0.742|0.763|0.8|6|0.807|0.753|0.779|0.95|1851|0.787|0.787|0.787|0.8|3|0.787|0.787|0.787|0.8|3|0.787|0.787|0.787|0.8|14|0.787|0.787|0.787|0.8|3|Right
Restaurants|2595|Name|Monge Elkan|Scarce|331146|Restaurants|11|2|0.67|11|2|0.67|0.433|invweibull|0|ksone|0|0.786|0.742|0.763|0.95|3|0.747|0.764|0.756|0.95|16|0.767|0.742|0.754|0.95|10|0.769|0.787|0.778|0.95|1875|0.769|0.787|0.778|0.95|3|0.77|0.753|0.761|0.95|3|0.753|0.753|0.753|0.95|16|0.769|0.787|0.778|0.95|3|Right
Restaurants|2595|Name|Needleman Wunch|Scarce|339678|Restaurants|11|2|0.67|11|2|0.67|0.444|trapz|0|ksone|0|0.8|0.764|0.782|0.9|3|0.807|0.753|0.779|0.95|6|0.79|0.719|0.753|0.9|11|0.807|0.753|0.779|0.95|1877|0.807|0.753|0.779|0.95|7|0.807|0.753|0.779|0.95|3|0.807|0.753|0.779|0.95|18|0.807|0.753|0.779|0.95|3|Right
Restaurants|2595|Name|Overlap Coefficient|Scarce|2210|Restaurants|11|2|0.67|11|2|0.67|0.003|ncf|0|ksone|0|0.789|0.843|0.815|0.95|1|0.675|0.888|0.767|0.95|3|0.667|0.854|0.749|0.65|4|0.686|0.91|0.783|0.75|1863|0.686|0.91|0.783|0.75|5|0.712|0.888|0.79|0.65|3|0.698|0.91|0.79|0.65|3|0.686|0.91|0.783|0.75|2|Left
Restaurants|2595|Name|q-grams Distance|Scarce|59882|Restaurants|11|2|0.67|11|2|0.67|0.078|gilbrat|0|ksone|0|0.826|0.798|0.811|0.6|2|0.763|0.831|0.796|0.65|9|0.722|0.876|0.792|0.5|8|0.755|0.831|0.791|0.65|1878|0.716|0.933|0.81|0.5|4|0.752|0.921|0.828|0.45|2|0.739|0.921|0.82|0.5|6|0.716|0.933|0.81|0.5|2|Right
Restaurants|2595|Name|Simon White|Scarce|134882|Restaurants|11|2|0.67|11|2|0.67|0.176|logistic|0|ksone|0|0.813|0.831|0.822|0.85|2|0.816|0.798|0.807|0.95|9|0.772|0.798|0.785|0.85|5|0.816|0.798|0.807|0.95|1867|0.816|0.798|0.807|0.95|4|0.769|0.899|0.829|0.6|3|0.755|0.933|0.834|0.55|21|0.719|0.921|0.808|0.65|3|Right
Restaurants|2595|Name|Longest Common Subsequence|Scarce|331941|Restaurants|11|2|0.67|11|2|0.67|0.434|moyal|0|ksone|0|0.8|0.764|0.782|0.9|4|0.807|0.753|0.779|0.95|7|0.786|0.742|0.763|0.8|10|0.807|0.753|0.779|0.95|1885|0.787|0.787|0.787|0.8|5|0.787|0.787|0.787|0.8|4|0.78|0.798|0.789|0.75|23|0.787|0.787|0.787|0.8|6|Right
Restaurants|2595|Name|Longest Common Substring|Scarce|331941|Restaurants|11|2|0.67|11|2|0.67|0.434|lomax|0|ksone|0|0.812|0.775|0.793|0.8|4|0.802|0.775|0.789|0.8|6|0.793|0.73|0.76|0.8|10|0.802|0.775|0.789|0.8|1934|0.802|0.775|0.789|0.8|4|0.802|0.775|0.789|0.8|4|0.802|0.775|0.789|0.8|21|0.802|0.775|0.789|0.8|5|Right
Restaurants|2595|Phone|Jaro Similarity|Scarce|84976|Restaurants|12|3|0.33|12|3|0.33|0.111|genextreme|0|ksone|0|0.71|0.247|0.367|0.85|6|0.389|0.472|0.426|0.85|15|0.523|0.652|0.58|0.85|21|0.423|0.528|0.47|0.85|2040|0.541|0.674|0.6|0.85|3|0.558|0.652|0.601|0.85|5|0.546|0.663|0.599|0.85|22|0.568|0.708|0.63|0.85|7|Right
Restaurants|2595|Phone|Levenshtein Distance|Scarce|84976|Restaurants|12|3|0.33|12|3|0.33|0.111|logistic|0|ksone|0|0.76|0.854|0.804|0.9|3|0.745|0.888|0.81|0.9|12|0.731|0.854|0.788|0.8|7|0.717|0.854|0.779|0.9|1862|0.721|0.899|0.8|0.8|3|0.734|0.899|0.808|0.8|8|0.736|0.91|0.814|0.8|8|0.726|0.921|0.812|0.4|9|Right
Restaurants|2595|Phone|Monge Elkan|Scarce|84976|Restaurants|12|3|0.33|12|3|0.33|0.111|cauchy|0|ksone|0|0.681|0.528|0.595|0.8|2|0.63|0.764|0.69|0.8|5|0.654|0.787|0.714|0.8|8|0.645|0.798|0.714|0.8|1859|0.655|0.809|0.724|0.8|3|0.667|0.764|0.712|0.8|2|0.657|0.775|0.711|0.8|23|0.691|0.854|0.764|0.8|3|Right
Restaurants|2595|Phone|Needleman Wunch|Scarce|84976|Restaurants|12|3|0.33|12|3|0.33|0.111|logistic|0|ksone|0|0.76|0.854|0.804|0.95|2|0.745|0.888|0.81|0.95|5|0.71|0.854|0.776|0.85|4|0.717|0.854|0.779|0.95|1860|0.721|0.899|0.8|0.85|1|0.734|0.899|0.808|0.85|2|0.736|0.91|0.814|0.85|7|0.738|0.888|0.806|0.9|3|Right
Restaurants|2595|Phone|q-grams Distance|Scarce|37281|Restaurants|12|3|0.33|12|3|0.33|0.049|ncf|0|ksone|0|0.769|0.899|0.829|0.75|2|0.755|0.933|0.834|0.75|2|0.738|0.854|0.792|0.75|5|0.727|0.899|0.804|0.75|1844|0.727|0.899|0.804|0.75|1|0.741|0.899|0.812|0.75|1|0.743|0.91|0.818|0.75|3|0.745|0.921|0.824|0.75|1|Right
Restaurants|2595|Phone|Simon White|Scarce|56569|Restaurants|12|3|0.33|12|3|0.33|0.074|cauchy|0|ksone|0|0.78|0.876|0.825|0.8|1|0.755|0.933|0.834|0.8|3|0.728|0.843|0.781|0.8|5|0.718|0.888|0.794|0.8|1849|0.718|0.888|0.794|0.8|1|0.731|0.888|0.802|0.8|1|0.734|0.899|0.808|0.8|4|0.755|0.933|0.834|0.65|2|Right
Restaurants|2595|Phone|Longest Common Substring|Scarce|84976|Restaurants|12|3|0.33|12|3|0.33|0.111|logistic|0|ksone|0|0.809|0.427|0.559|0.6|2|0.559|0.697|0.62|0.55|5|0.482|0.596|0.533|0.6|6|0.522|0.663|0.584|0.6|1856|0.522|0.663|0.584|0.6|2|0.515|0.596|0.552|0.25|4|0.491|0.596|0.538|0.6|6|0.496|0.629|0.554|0.5|2|Left
Abt-Buy|2152|Name|Cosine Similarity|Balanced|789242|E-commerce|56|11|1|53|11|1|0.682|weibull_max|0.31|loggamma|0|0.975|0.214|0.351|0.6|6|0.685|0.327|0.443|0.55|19|0.613|0.533|0.57|0.3|19|0.732|0.73|0.731|0.05|1079|0.693|0.558|0.618|0.4|9|0.939|0.426|0.586|0.35|9|0.901|0.548|0.682|0.3|53|0.753|0.678|0.714|0.3|25|Left
Abt-Buy|2152|Name|Damerau Levenshtein|Balanced|1157749|E-commerce|56|11|1|53|11|1|1|weibull_min|0.347|burr|0.037|0.921|0.12|0.212|0.55|9|0.606|0.212|0.314|0.55|14|0.534|0.327|0.406|0.4|20|0.596|0.596|0.596|0.05|1084|0.549|0.374|0.445|0.4|20|0.859|0.278|0.42|0.2|105|0.776|0.412|0.538|0.3|69|0.671|0.511|0.58|0.35|13|Left
Abt-Buy|2152|Name|Euclidean Distance|Balanced|1157776|E-commerce|56|11|1|53|11|1|1|hypsecant|0.04|mielke|0|0.987|0.069|0.129|0.85|9|0.755|0.223|0.344|0.8|14|0.649|0.432|0.519|0.75|21|0.688|0.688|0.688|0.2|1088|0.704|0.516|0.595|0.75|24|0.957|0.167|0.285|0.75|20|0.933|0.181|0.304|0.8|81|0.742|0.655|0.696|0.7|143|Left
