Dataset|Attribute Name|Embeddings|Similarity Measure|Duplicates Type|Valid Pairs|Average Characters D1|Average Tokens D1|Coverage D1|Average Characters D2|Average Tokens D2|Coverage D2|Portion of Valid Pairs|CNC Precision|CNC Recall|CNC F-Measure|CNC Threshold|CNC Run-time|RSR Precision|RSR Recall|RSR F-Measure|RSR Threshold|RSR Run-time|RCA Precision|RCA Recall|RCA F-Measure|RCA Threshold|RCA Run-time|BAH Precision|BAH Recall|BAH F-Measure|BAH Threshold|BAH Run-time|BMC Precision|BMC Recall|BMC F-Measure|BMC Threshold|BMC Run-time|EXC Precision|EXC Recall|EXC F-Measure|EXC Threshold|EXC Run-time|KRC Precision|KRC Recall|KRC F-Measure|KRC Threshold|KRC Run-time|UMC Precision|UMC Recall|UMC F-Measure|UMC Threshold|UMC Run-time|BMC Configuration
Restaurants|Name|FastText|Cosine Similarity|Scarce|339387|11|2|0.67|11|2|0.67|0.44|0.791|0.809|0.800|0.900|9|0.795|0.787|0.791|0.950|29|0.795|0.742|0.767|0.950|16|0.800|0.764|0.782|0.950|1950|0.795|0.787|0.791|0.950|9|0.752|0.888|0.814|0.400|24|0.713|0.921|0.804|0.650|35|0.795|0.787|0.791|0.950|13|Right
Restaurants|Name|FastText|Euclidean Distance|Scarce|339678|11|2|0.67|11|2|0.67|0.44|0.809|0.809|0.809|0.450|4|0.807|0.798|0.802|0.400|13|0.802|0.775|0.789|0.400|6|0.806|0.843|0.824|0.300|1981|0.802|0.820|0.811|0.400|5|0.809|0.809|0.809|0.450|5|0.760|0.888|0.819|0.300|25|0.802|0.820|0.811|0.400|12|Right
Restaurants|Name|FastText|WMD|Scarce|339678|11|2|0.67|11|2|0.67|0.44|0.000|0.000|0.000|0.000|53|0.174|0.225|0.196|0.950|135|0.270|0.685|0.387|0.950|9|0.540|0.764|0.633|0.950|1881|0.288|0.730|0.413|0.950|23|0.611|0.775|0.683|0.900|59|0.552|0.775|0.645|0.950|90|0.305|0.775|0.438|0.950|89|Right
Restaurants|Name|Albert|Cosine Similarity|Scarce|268054|11|2|0.67|11|2|0.67|0.35|0.714|0.112|0.194|0.950|3|0.106|0.146|0.123|0.950|9|0.481|0.697|0.569|0.950|6|0.519|0.764|0.618|0.950|1882|0.504|0.742|0.600|0.950|5|0.640|0.719|0.677|0.950|3|0.645|0.775|0.704|0.950|15|0.527|0.775|0.627|0.950|5|Right
Restaurants|Name|Albert|Euclidean Distance|Scarce|339678|11|2|0.67|11|2|0.67|0.44|0.807|0.753|0.779|0.950|2|0.807|0.753|0.779|0.950|6|0.797|0.708|0.750|0.950|7|0.815|0.742|0.776|0.900|1859|0.807|0.753|0.779|0.950|4|0.807|0.753|0.779|0.950|3|0.807|0.753|0.779|0.950|17|0.807|0.753|0.779|0.950|4|Right
Restaurants|Name|Albert|WMD|Scarce|339678|11|2|0.67|11|2|0.67|0.44|0.778|0.629|0.696|0.950|11|0.546|0.663|0.599|0.950|34|0.596|0.697|0.642|0.950|17|0.626|0.753|0.684|0.950|1899|0.611|0.742|0.670|0.950|15|0.753|0.753|0.753|0.950|14|0.753|0.753|0.753|0.950|43|0.620|0.753|0.680|0.950|11|Right
Restaurants|Phone|FastText|Cosine Similarity|Scarce|60765|12|3|0.33|12|3|0.33|0.08|0.730|0.303|0.429|0.650|1|0.459|0.438|0.448|0.650|3|0.402|0.461|0.429|0.550|5|0.442|0.562|0.495|0.200|1865|0.445|0.551|0.492|0.450|3|0.568|0.517|0.541|0.450|2|0.495|0.506|0.500|0.550|6|0.446|0.562|0.498|0.400|4|Right
Restaurants|Phone|FastText|Euclidean Distance|Scarce|84976|12|3|0.33|12|3|0.33|0.11|0.800|0.135|0.231|0.750|2|0.250|0.236|0.243|0.500|27|0.327|0.416|0.366|0.600|6|0.384|0.483|0.428|0.350|1903|0.372|0.472|0.416|0.550|9|0.507|0.382|0.436|0.600|14|0.418|0.427|0.422|0.600|32|0.372|0.472|0.416|0.600|26|Right
Abt-Buy|Name|FastText|Cosine Similarity|Balanced|1157776|56|11|1|53|11|1|1|0.926|0.104|0.187|0.900|7|0.458|0.202|0.280|0.850|55|0.415|0.327|0.366|0.800|21|0.559|0.559|0.559|0.200|1092|0.490|0.336|0.399|0.850|14|0.817|0.232|0.362|0.800|12|0.694|0.351|0.466|0.750|88|0.521|0.475|0.497|0.750|45|Left
Abt-Buy|Name|FastText|Euclidean Distance|Balanced|1157776|56|11|1|53|11|1|1|0.925|0.092|0.167|0.550|7|0.451|0.163|0.239|0.400|128|0.377|0.342|0.359|0.400|25|0.548|0.546|0.547|0.150|1083|0.428|0.328|0.371|0.450|16|0.818|0.221|0.348|0.400|48|0.680|0.336|0.449|0.400|148|0.495|0.445|0.469|0.400|113|Left
